번호,상호,주소,기간,휘발유,동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 07월 3주,1325.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 07월 4주,1325.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 07월 5주,1325.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 08월 1주,1325.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 08월 2주,1325.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 08월 3주,1325.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 08월 4주,1325.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 09월 1주,1325.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 09월 2주,1325.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 09월 3주,1314.29,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 09월 4주,1295.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 09월 5주,1295.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 10월 1주,1295.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 10월 2주,1295.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 10월 3주,1295.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 10월 4주,1292.14,신창동
A0019785,해피주유소,광주 광산구 건재로 761,2019년 11월 1주,1499.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2019년 11월 2주,1507.57,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2019년 11월 3주,1519.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2019년 11월 4주,1519.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2019년 12월 1주,1524.71,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2019년 12월 2주,1539.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2019년 12월 3주,1539.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2019년 12월 4주,1539.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 01월 1주,1541.86,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 01월 2주,1549.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 01월 3주,1549.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 01월 4주,1549.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 01월 5주,1549.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 02월 1주,1544.71,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 02월 2주,1530.43,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 02월 3주,1523.29,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 02월 4주,1519.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 03월 1주,1501.86,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 03월 2주,1491.86,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 03월 3주,1451.86,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 03월 4주,1409.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 04월 1주,1391.86,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 04월 2주,1361.86,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 04월 3주,1344.71,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 04월 4주,1303.29,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 04월 5주,1269.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 05월 1주,1269.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 05월 2주,1263.29,본덕동
