동,2019년 11월 1주,2019년 11월 2주,2019년 11월 3주,2019년 11월 4주,2019년 12월 1주,2019년 12월 2주,2019년 12월 3주,2019년 12월 4주,2020년 01월 1주,2020년 01월 2주,2020년 01월 3주,2020년 01월 4주,2020년 01월 5주,2020년 02월 1주,2020년 02월 2주,2020년 02월 3주,2020년 02월 4주,2020년 03월 1주,2020년 03월 2주,2020년 03월 3주,2020년 03월 4주,2020년 04월 1주,2020년 04월 2주,2020년 04월 3주,2020년 04월 4주,2020년 04월 5주,2020년 05월 1주,2020년 05월 2주,2020년 05월 3주,2020년 05월 4주,2020년 06월 1주,2020년 06월 2주,2020년 06월 3주,2020년 06월 4주,2020년 07월 1주,2020년 07월 2주,2020년 07월 3주,2020년 07월 4주,2020년 07월 5주,2020년 08월 1주,2020년 08월 2주,2020년 08월 3주,2020년 08월 4주,2020년 09월 1주,2020년 09월 2주,2020년 09월 3주,2020년 09월 4주,2020년 09월 5주,2020년 10월 1주,2020년 10월 2주,2020년 10월 3주,2020년 10월 4주
수완동,1505.8333333333333,1505.2383333333335,1503.3333333333333,1503.3333333333333,1506.2616666666665,1510.8566666666666,1518.5,1522.9283333333333,1528.8333333333333,1539.5716666666667,1551.8566666666666,1549.3333333333333,1547.095,1533.2150000000001,1527.2383333333335,1514.8816666666664,1505.8316666666667,1487.74,1472.9516666666666,1450.6666666666667,1420.1416666666667,1383.7116666666668,1342.4516666666666,1313.76,1281.3799999999999,1262.215,1249.095,1230.1433333333334,1223.405,1225.31,1237.6650000000002,1276.595,1296.5483333333334,1314.1666666666667,1334.3083333333334,1338.8333333333333,1338.4766666666667,1332.69,1327.0,1322.2366666666667,1316.1916666666666,1311.4283333333333,1312.5,1313.3333333333333,1312.9283333333335,1306.9750000000001,1298.095,1298.0,1298.0,1297.4283333333333,1289.6416666666667,1289.095
신가동,1509.486,1505.058,1504.2,1507.828,1514.572,1517.858,1523.6,1530.8579999999997,1538.028,1551.9160000000002,1555.428,1552.856,1548.6860000000001,1541.2,1529.944,1515.3719999999998,1507.2019999999998,1491.258,1475.23,1447.0,1413.6860000000001,1368.658,1334.344,1303.886,1274.7720000000002,1251.8300000000002,1235.0000000000002,1218.544,1214.2,1225.972,1240.4,1268.828,1297.6280000000002,1324.3719999999998,1341.3719999999998,1341.172,1340.742,1333.542,1328.6,1328.6,1328.6,1328.6,1331.8,1327.0,1326.714,1302.4,1288.4,1288.4,1290.972,1291.4,1290.542,1290.542
신안동,1493.1666666666667,1493.1666666666667,1497.1666666666667,1496.835,1499.095,1505.55,1517.88,1527.9533333333331,1530.4516666666666,1540.2116666666668,1545.5716666666667,1543.9516666666666,1536.7866666666666,1527.545,1514.8583333333333,1499.4266666666665,1492.8566666666666,1481.1916666666666,1470.073333333333,1442.1899999999998,1410.595,1371.9750000000001,1324.7633333333333,1297.5233333333333,1269.405,1250.4750000000001,1235.5,1221.0233333333333,1214.5233333333333,1215.7366666666667,1232.4750000000001,1291.6666666666667,1305.7616666666668,1335.1433333333332,1337.6666666666667,1337.6666666666667,1331.12,1325.8816666666667,1323.3566666666668,1322.5,1322.5,1321.1899999999998,1319.1666666666667,1319.1666666666667,1317.1183333333336,1304.9766666666667,1295.9983333333332,1294.0,1291.0483333333334,1288.0,1285.7616666666665,1278.9516666666666
신용동,1544.3333333333333,1544.3333333333333,1545.2866666666666,1553.8566666666666,1557.6666666666667,1557.6666666666667,1559.0966666666666,1564.3333333333333,1576.7133333333334,1580.5266666666666,1584.3333333333333,1584.3333333333333,1584.3333333333333,1577.2833333333335,1569.0,1566.1433333333332,1557.57,1538.5233333333333,1519.1566666666668,1502.3333333333333,1478.05,1456.1433333333332,1439.0,1413.76,1393.2866666666666,1278.3333333333333,1266.3333333333333,1250.6166666666666,1243.0,1243.0,1265.1433333333334,1300.8566666666666,1328.24,1356.3333333333333,1356.3333333333333,1357.7633333333333,1356.3333333333333,1356.3333333333333,1356.3333333333333,1356.3333333333333,1356.3333333333333,1356.3333333333333,1356.3333333333333,1356.3333333333333,1356.3333333333333,1356.3333333333333,1345.8566666666666,1336.3333333333333,1336.3333333333333,1336.3333333333333,1336.3333333333333,1332.5266666666666
신창동,1501.6666666666667,1501.0716666666667,1501.7849999999999,1505.8100000000002,1508.905,1514.3099999999997,1525.095,1529.1666666666667,1530.8333333333333,1538.7633333333333,1546.6666666666667,1546.6666666666667,1540.0233333333333,1526.7133333333334,1518.8333333333333,1499.3566666666666,1491.1416666666664,1486.1433333333332,1460.8333333333333,1440.4766666666667,1409.9283333333333,1366.2133333333331,1335.7833333333333,1293.5933333333335,1273.045,1257.785,1236.93,1202.595,1199.0466666666669,1216.1200000000001,1232.405,1274.9766666666667,1289.405,1301.095,1321.7383333333335,1324.4283333333333,1326.0466666666666,1327.6666666666667,1323.0233333333333,1318.405,1319.3566666666668,1320.1666666666667,1321.81,1321.1433333333332,1316.5233333333333,1305.1666666666667,1296.3566666666668,1294.3333333333333,1291.5716666666667,1288.3816666666667,1285.285,1276.5000000000002
신촌동,1532.3333333333333,1535.6666666666667,1535.6666666666667,1535.6666666666667,1539.9533333333331,1550.43,1568.5233333333335,1569.4766666666667,1576.1433333333334,1579.0,1579.0,1579.0,1578.0466666666669,1549.4766666666667,1536.1433333333334,1502.62,1497.6666666666667,1491.4766666666665,1486.1433333333334,1468.5233333333333,1438.05,1400.9066666666668,1361.38,1318.3333333333333,1281.38,1278.0466666666669,1259.95,1250.9033333333334,1249.0,1250.9033333333334,1280.43,1298.0466666666669,1314.24,1323.7633333333333,1344.2366666666667,1348.5233333333333,1347.57,1345.6666666666667,1345.6666666666667,1345.6666666666667,1345.6666666666667,1345.6666666666667,1361.86,1365.6666666666667,1363.7633333333333,1355.5733333333335,1341.6666666666667,1341.6666666666667,1341.6666666666667,1333.6666666666667,1326.62,1325.6666666666667
쌍암동,1529.0,1529.0,1529.0,1529.0,1529.0,1537.57,1549.0,1551.86,1559.0,1563.29,1569.0,1569.0,1569.0,1564.71,1553.29,1539.0,1539.0,1519.0,1499.0,1473.29,1426.14,1390.43,1357.57,1320.43,1293.29,1270.43,1259.0,1247.57,1239.0,1239.0,1253.29,1283.29,1316.14,1339.0,1347.57,1369.0,1369.0,1369.0,1369.0,1369.0,1369.0,1369.0,1369.0,1369.0,1369.0,1366.14,1349.0,1337.57,1329.0,1329.0,1329.0,1324.71
쌍촌동,1513.0,1514.1425,1517.0,1523.3575,1528.8575,1533.1425,1540.8575,1551.785,1556.3575,1566.0,1568.5,1566.3575,1565.285,1559.5725,1544.4524999999999,1533.8574999999998,1520.8575,1510.9275,1497.57,1474.2175,1442.7849999999999,1403.57,1361.8575,1330.5025,1302.2849999999999,1278.0749999999998,1258.5725,1252.5,1246.5,1250.57,1262.4275,1300.6425,1327.7849999999999,1348.8575,1356.0,1345.6425,1342.785,1341.0,1341.0,1341.0,1341.0,1341.0,1341.3575,1343.5,1335.715,1327.3575,1318.0725,1317.0,1310.285,1306.0,1306.0,1304.715
안청동,1583.5,1571.355,1573.5,1573.5,1573.5,1573.5,1573.5,1573.5,1573.5,1586.36,1603.5,1603.5,1603.5,1603.5,1603.5,1603.5,1603.5,1592.0700000000002,1569.215,1539.9299999999998,1505.645,1459.9250000000002,1434.2150000000001,1409.215,1359.215,1348.5,1348.5,1348.5,1348.5,1348.5,1348.5,1367.7849999999999,1391.355,1407.0700000000002,1428.5,1428.5,1428.5,1428.5,1428.5,1428.5,1428.5,1428.5,1428.5,1428.5,1417.7849999999999,1413.5,1413.5,1413.5,1413.5,1413.5,1413.5,1412.0700000000002
압촌동,1506.14,1499.0,1499.0,1504.71,1516.14,1523.29,1527.57,1529.0,1531.86,1546.14,1557.57,1561.86,1559.0,1559.0,1551.86,1530.43,1510.43,1499.0,1496.14,1464.71,1426.14,1381.86,1351.86,1321.86,1293.29,1273.29,1253.29,1234.71,1229.0,1229.0,1240.43,1290.43,1334.71,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1343.29,1304.71,1299.0,1299.0,1299.0,1299.0,1299.0
